incident_id,incident_date,incident_time,address,city,state,zip,incident_type,priority,response_time,latitude,longitude,unit_id,personnel_count,equipment_used,status,reported_by,notes
FD-2023-1001,5/12/2023,14:32:45,123 Main St,Baltimore,MD,21201,Structure Fire,High,4.2,39.2904,-76.6122,E07,5,"Engine, Ladder",Closed,911 Call,Smoke visible from 2nd floor windows
FD-2023-1002,5/12/2023,17:45:10,456 Park Ave,Baltimore,MD,21202,Medical Emergency,Medium,3.5,39.2887,-76.617,M12,2,Medical Kit,Closed,Mobile App,Patient with chest pain transferred to hospital
FD-2023-1003,5/13/2023,8:12:30,789 Harbor Dr,Baltimore,MD,21230,Gas Leak,High,5.1,39.2712,-76.6045,E15,4,"Engine, HazMat",Closed,911 Call,Gas leak from kitchen stove
FD-2023-1004,5/13/2023,10:25:18,101 Tower Rd,Baltimore,MD,21222,Vehicle Accident,High,2.8,39.2405,-76.5749,E10,3,"Engine, Rescue",Closed,911 Call,Two-vehicle collision with minor injuries
FD-2023-1005,5/14/2023,13:40:22,222 University Blvd,Baltimore,MD,21218,Medical Emergency,Low,6.3,39.3262,-76.6205,M08,2,Medical Kit,Closed,Mobile App,Elderly patient with fall injury
FD-2023-1006,5/14/2023,21:55:43,333 Market St,Baltimore,MD,21202,Structure Fire,High,3.9,39.2866,-76.6093,E04,6,"Engine, Ladder, Tanker",Closed,911 Call,Kitchen fire contained to stove area
FD-2023-1007,5/15/2023,3:15:55,444 Bayside Dr,Baltimore,MD,21224,Carbon Monoxide,High,4.5,39.2783,-76.565,E13,3,"Engine, HazMat",Closed,911 Call,CO detector activation in residential home
FD-2023-1008,5/15/2023,9:22:17,555 Hilltop Rd,Baltimore,MD,21239,Medical Emergency,Medium,5.7,39.3649,-76.583,M05,2,Medical Kit,Closed,Mobile App,Diabetic emergency resolved on scene
FD-2023-1009,5/15/2023,14:05:31,666 Industrial Pkwy,Baltimore,MD,21226,HazMat Incident,High,7.2,39.2207,-76.578,E22,8,"Engine, HazMat, Command",Closed,Phone Call,Chemical spill at manufacturing facility
FD-2023-1010,5/16/2023,11:33:42,777 Greenway Ave,Baltimore,MD,21218,Structural Collapse,High,3.4,39.3183,-76.6205,E09,7,"Engine, Rescue, K9 Unit",Closed,911 Call,Partial roof collapse at abandoned warehouse
FD-2023-1011,5/16/2023,16:50:19,888 Riverside Dr,Baltimore,MD,21230,Water Rescue,High,6.1,39.269,-76.6004,M17,5,"Boat, Dive Team",Closed,911 Call,Person reported in harbor water
FD-2023-1012,5/17/2023,8:10:05,999 Eastside Ave,Baltimore,MD,21224,Medical Emergency,Medium,4.3,39.2864,-76.5476,M11,2,Medical Kit,Closed,Mobile App,Anaphylactic reaction treated with epinephrine
FD-2023-1013,5/17/2023,13:27:39,1010 Commerce St,Baltimore,MD,21202,Elevator Rescue,Medium,3.8,39.2873,-76.6118,E06,4,Rescue Equipment,Closed,Phone Call,Three people stuck in office building elevator
FD-2023-1014,5/18/2023,2:45:11,1111 Transit Way,Baltimore,MD,21211,Vehicle Fire,Medium,4.7,39.3301,-76.6352,E18,4,Engine,Closed,911 Call,Car fire in parking garage - no injuries
